What is the full name of the HAID resource?,HAID stands for Health AI Data Resource.
What is the primary mission of the HAID project?,"To democratize access to high-quality, preprocessed medical imaging datasets for AI/ML development in medical imaging."
HAID provides ready-to-use annotations for which three primary AI/ML tasks?,"Detection, segmentation, and classification."
"For reproducible benchmarking, what kind of data splits does HAID provide?",Train/validation/test splits.
The NSCLC-Radiomics (NSCLCR) dataset contains CT scans of patients from which country?,The Netherlands.
What specific type of cancer is the focus of the NSCLC-Radiomics (NSCLCR) dataset?,Non-Small Cell Lung Cancer (NSCLC).
"In the NSCLC-Radiomics dataset, what is the specific name for the tumor segmentation provided?",Gross Tumor Volume (GTV-1).
The train/validation/test splits for the NSCLC-Radiomics dataset are stratified by what clinical feature?,Histology.
What is the primary condition studied in the UniToChest dataset?,Lung Nodules.
"The UniToChest dataset, originating from Italy, contains over 10,000 expert-annotated _____ _____.",lung nodule segmentation masks
What specific imaging condition is the focus of the IMDCT dataset?,Indeterminate Pulmonary Nodules.
"A key feature of the IMDCT dataset is that 100% of diagnoses have _____ confirmation, considered the gold standard.",histopathological
"The IMDCT dataset, from multiple institutions in China, has a high malignancy rate of what percentage?",78.6%.
What is the distinguishing feature of the annotations in the LNDb v4 dataset from Portugal?,"It features multi-reader annotations, with up to 4 expert radiologists per case."
"The LNDb v4 dataset includes ratings for 9 radiological characteristics, such as Texture, Calcification, and _____.","Malignancy (or Subtlety, Lobulation, Margin, Sphericity, Spiculation, Internal Structure)."
What unique textual data is included with the BIMCV-R dataset from Spain?,Bilingual radiology reports (Spanish original and English machine-translated).
"The BIMCV-R dataset is described as having rich multi-label annotations. What is the most prevalent finding, present in 34.4% of cases?",Ground Glass Pattern.
What was the specific goal of the challenge associated with the LUNGx dataset?,Lung nodule classification (benign vs. malignant).
How were the diagnoses in the LUNGx dataset confirmed?,They were 100% histologically confirmed (pathology-confirmed).
What is the full name of the LIDC-IDRI dataset?,Lung Image Database Consortium - Image Database Resource Initiative.
The LIDC-IDRI dataset is a benchmark for lung nodule detection and segmentation and features annotations from up to _____ expert thoracic radiologists per case.,four
"What is the key innovation of the LUNA25 dataset compared to its predecessor, LUNA16?",It extends LUNA16 with state-of-the-art deep learning-based segmentations for nodules (PiNS) and organs (Vista3D).
"In the LUNA25 dataset, which AI model was used for comprehensive organ segmentation?",MONAI Vista3D.
What is the label number for pulmonary nodules in the LUNA25 label scheme?,Label 23.
What condition is the focus of the MIDRC-RICORD dataset?,COVID-19 detection and classification.
"What method was used to confirm positive cases in the MIDRC-RICORD-1A dataset, establishing a gold standard?",RT-PCR confirmation.
The U-10 (United-10) dataset is a unified collection of how many public COVID-19 CT datasets?,Ten datasets.
What novel methodology is included in the U-10 dataset to test AI model transparency and reliability?,Virtual Imaging Trials (VIT) using simulated CT data.
What is the full name of the landmark clinical trial from which the NLST-3D dataset is derived?,National Lung Screening Trial.
"The NLST-3D dataset features 1,192 3D nodule annotations that were converted from over 9,000 2D _____-_____ bounding boxes.",slice-level
The National Lung Screening Trial demonstrated that annual low-dose CT screening reduces lung cancer mortality by what percentage in high-risk populations?,20%.
What is the full name of the DLCS 2024 dataset?,The Duke Lung Cancer Screening dataset.
What is the key innovation of the DLCS 2024 dataset regarding clinical practice?,It is the first large dataset reflecting contemporary (2015-2021) CT scanner technology and clinical practice.
What clinical scoring system is used for nodules in the DLCS 2024 dataset?,Lung-RADS (Lung CT Screening Reporting and Data System).
"The MONAI nodule detection algorithm, trained on the _____ dataset, was used to create efficient semiautomated annotations for DLCS 2024.",LUNA16
What is the primary purpose of the DeepLesion dataset?,Universal lesion detection across multiple anatomical regions.
The DeepLesion-1kTest3D dataset is a conversion of the test set into what 3D file format?,3D NIfTI format.
