SAMPLE_N,5hmC_ID,5mC_ID
SAMPLE_0001,lung-MSPA0001,lung-M66-MSPA0001
SAMPLE_0002,lung-MSPA0002,lung-M52-MSPA0002
SAMPLE_0003,lung-MSPA0003,lung-M76-MSPA0003
SAMPLE_0004,lung-MSPA0004,lung-M110-MSPA0004
SAMPLE_0005,lung-MSPA0006,lung-M72-MSPA0006
SAMPLE_0006,lung-MSPA0008,lung-M75-MSPA0008
SAMPLE_0007,lung-MSPA0009,lung-M66-MSPA0009
SAMPLE_0008,lung-MSPA0011,lung-M68-MSPA0011
SAMPLE_0009,lung-MSPA0012,lung-M69-MSPA0012
SAMPLE_0010,lung-MSPA0014,lung-M161-MSPA0014
SAMPLE_0011,lung-MSPA0015,lung-M158-MSPA0015
SAMPLE_0012,lung-MSPA0016,lung-M17-MSPA0016
SAMPLE_0013,lung-MSPA0017,lung-M161-MSPA0017
SAMPLE_0014,lung-MSPA0018,lung-M71-MSPA0018
SAMPLE_0015,lung-MSPA0019,lung-M76-MSPA0019
SAMPLE_0016,lung-MSPA0020,lung-M162-MSPA0020
SAMPLE_0017,lung-MSPA0024,lung-M47-MSPA0024
SAMPLE_0018,lung-MSPA0026,lung-M213-MSPA0026
SAMPLE_0019,lung-MSPA0027,lung-M74-MSPA0027
SAMPLE_0020,lung-MSPA0029,lung-M161-MSPA0029
SAMPLE_0021,lung-MSPA0030,lung-M161-MSPA0030
SAMPLE_0022,lung-MSPA0031,lung-M161-MSPA0031
SAMPLE_0023,lung-MSPA0032,lung-M158-MSPA0032
SAMPLE_0024,lung-MSPA0034,lung-M160-MSPA0034
SAMPLE_0025,lung-MSPA0035,lung-M163-MSPA0035
SAMPLE_0026,lung-MSPA0036,lung-M161-MSPA0036
SAMPLE_0027,lung-MSPA0037,lung-M70-MSPA0037
SAMPLE_0028,lung-MSPA0038,lung-M48-MSPA0038
SAMPLE_0029,lung-MSPA0039,lung-M163-MSPA0039
SAMPLE_0030,lung-MSPA0040,lung-M161-MSPA0040
SAMPLE_0031,lung-MSPA0041,lung-M67-MSPA0041
SAMPLE_0032,lung-MSPA0042,lung-M163-MSPA0042
SAMPLE_0033,lung-MSPA0043,lung-M72-MSPA0043
SAMPLE_0034,lung-MSPA0044,lung-M163-MSPA0044
SAMPLE_0035,lung-MSPA0045,lung-M161-MSPA0045
SAMPLE_0036,lung-MSPA0046,lung-M158-MSPA0046
SAMPLE_0037,lung-MSPA0048,lung-M162-MSPA0048
SAMPLE_0038,lung-MSPA0049,lung-M163-MSPA0049
SAMPLE_0039,lung-MSPA0051,lung-M163-MSPA0051
SAMPLE_0040,lung-MSPA0054,lung-M47-MSPA0054
SAMPLE_0041,lung-MSPA0055,lung-M236-MSPA0055
SAMPLE_0042,lung-MSPA0056,lung-M73-MSPA0056
SAMPLE_0043,lung-MSPA0059,lung-M48-MSPA0059
SAMPLE_0044,lung-MSPA0061,lung-M237-MSPA0061
SAMPLE_0045,lung-MSPA0063,lung-M75-MSPA0063
SAMPLE_0046,lung-MSPA0064,lung-M51-MSPA0064
SAMPLE_0047,lung-MSPA0065,lung-M47-MSPA0065
SAMPLE_0048,lung-MSPA0066,lung-M47-MSPA0066
SAMPLE_0049,lung-MSPA0067,lung-M47-MSPA0067
SAMPLE_0050,lung-MSPA0068,lung-M49-MSPA0068
SAMPLE_0051,lung-MSPA0069,lung-M169-MSPA0069
SAMPLE_0052,lung-MSPA0070,lung-M47-MSPA0070
SAMPLE_0053,lung-MSPA0072,lung-M21-MSPA0072
SAMPLE_0054,lung-MSPA0074,lung-M72-MSPA0074
SAMPLE_0055,lung-MSPA0075,lung-M66-MSPA0075
SAMPLE_0056,lung-MSPA0076,lung-M20-MSPA0076
SAMPLE_0057,lung-MSPA0077,lung-M236-MSPA0077
SAMPLE_0058,lung-MSPA0078,lung-M53-MSPA0078
SAMPLE_0059,lung-MSPA0079,lung-M162-MSPA0079
SAMPLE_0060,lung-MSPA0081,lung-M163-MSPA0081
SAMPLE_0061,lung-MSPA0085,lung-M67-MSPA0085
SAMPLE_0062,lung-MSPA0086,lung-M72-MSPA0086
SAMPLE_0063,lung-MSPA0087,lung-M49-MSPA0087
SAMPLE_0064,lung-MSPA0089,lung-M72-MSPA0089
SAMPLE_0065,lung-MSPA0090,lung-M20-MSPA0090
SAMPLE_0066,lung-MSPA0091,lung-M68-MSPA0091
SAMPLE_0067,lung-MSPA0092,lung-M51-MSPA0092
SAMPLE_0068,lung-MSPA0093,lung-M53-MSPA0093
SAMPLE_0069,lung-MSPA0095,lung-M52-MSPA0095
SAMPLE_0070,lung-MSPA0096,lung-M71-MSPA0096
SAMPLE_0071,lung-MSPA0097,lung-M163-MSPA0097
SAMPLE_0072,lung-MSPA0098,lung-M72-MSPA0098
SAMPLE_0073,lung-MSPA0099,lung-M110-MSPA0099
SAMPLE_0074,lung-MSPA0100,lung-M51-MSPA0100
SAMPLE_0075,lung-MSPA0103,lung-M66-MSPA0103
SAMPLE_0076,lung-P01LA003,lung-M164-P01LA003
SAMPLE_0077,lung-P01LA004,lung-M77-P01LA004
SAMPLE_0078,lung-P01LA005,lung-M49-P01LA005
SAMPLE_0079,lung-P01LA009,lung-M76-P01LA009
SAMPLE_0080,lung-P01LA010,lung-M236-P01LA010
SAMPLE_0081,lung-P01LA013,lung-M53-P01LA013
SAMPLE_0082,lung-P01LA015,lung-M224-P01LA015
SAMPLE_0083,lung-P01LA016,lung-M51-P01LA016
SAMPLE_0084,lung-P01LA017,lung-M75-P01LA017
SAMPLE_0085,lung-P01LA019,lung-M76-P01LA019
SAMPLE_0086,lung-P01LA020,lung-M237-P01LA020
SAMPLE_0087,lung-P01LA022,lung-M50-P01LA022
SAMPLE_0088,lung-P01LA023,lung-M67-P01LA023
SAMPLE_0089,lung-P01LA024,lung-M51-P01LA024
SAMPLE_0090,lung-P01LA025,lung-M51-P01LA025
SAMPLE_0091,lung-P01LA027,lung-M47-P01LA027
SAMPLE_0092,lung-P01LA030,lung-M54-P01LA030
SAMPLE_0093,lung-P01LA033,lung-M51-P01LA033
SAMPLE_0094,lung-P01LA035,lung-M76-P01LA035
SAMPLE_0095,lung-P01LA036,lung-M20-P01LA036
SAMPLE_0096,lung-P01LA037,lung-M73-P01LA037
SAMPLE_0097,lung-P01LA039,lung-M54-P01LA039
SAMPLE_0098,lung-P01LA041,lung-M53-P01LA041
SAMPLE_0099,lung-P01LA042,lung-M50-P01LA042
SAMPLE_0100,lung-P01LA043,lung-M50-P01LA043
SAMPLE_0101,lung-P01LA044,lung-M75-P01LA044
SAMPLE_0102,lung-P01LA046,lung-M76-P01LA046
SAMPLE_0103,lung-P01LA047,lung-M51-P01LA047
SAMPLE_0104,lung-P01LA048,lung-M51-P01LA048
SAMPLE_0105,lung-P01LA049,lung-M53-P01LA049
SAMPLE_0106,lung-P01LA050,lung-M76-P01LA050
SAMPLE_0107,lung-P01LA053,lung-M170-P01LA053
SAMPLE_0108,lung-P01LA054,lung-M25-P01LA054
SAMPLE_0109,lung-P01LA059,lung-M69-P01LA059
SAMPLE_0110,lung-P01LA062,lung-M165-P01LA062
SAMPLE_0111,lung-P01LA063,lung-M165-P01LA063
SAMPLE_0112,lung-P01LA064,lung-M55-P01LA064
SAMPLE_0113,lung-P01LA065,lung-M170-P01LA065
SAMPLE_0114,lung-P01LA067,lung-M164-P01LA067
SAMPLE_0115,lung-P01LA068,lung-M77-P01LA068
SAMPLE_0116,lung-P01LA070,lung-M26-P01LA070
SAMPLE_0117,lung-P01LA072,lung-M165-P01LA072
SAMPLE_0118,lung-P01LA073,lung-M165-P01LA073
SAMPLE_0119,lung-P01LA076,lung-M170-P01LA076
SAMPLE_0120,lung-P01LA078,lung-M74-P01LA078
SAMPLE_0121,lung-P01LA079,lung-M55-P01LA079
SAMPLE_0122,lung-P01LA080,lung-M68-P01LA080
SAMPLE_0123,lung-P01LA081,lung-M79-P01LA081
SAMPLE_0124,lung-P01LA085,lung-M78-P01LA085
SAMPLE_0125,lung-P01LA086,lung-M49-P01LA086
SAMPLE_0126,lung-P01LA088,lung-M47-P01LA088
SAMPLE_0127,lung-P01LA091,lung-M236-P01LA091
SAMPLE_0128,lung-P01LA092,lung-M165-P01LA092
SAMPLE_0129,lung-P01LA094,lung-M49-P01LA094
SAMPLE_0130,lung-P01LA095,lung-M72-P01LA095
SAMPLE_0131,lung-P01LA097,lung-M59-P01LA097
SAMPLE_0132,lung-P01LA100,lung-M56-P01LA100
SAMPLE_0133,lung-P01LA101,lung-M77-P01LA101
SAMPLE_0134,lung-P01LA104,lung-M58-P01LA104
SAMPLE_0135,lung-P01LA105,lung-M236-P01LA105
SAMPLE_0136,lung-P01LA107,lung-M73-P01LA107
SAMPLE_0137,lung-P01LA108,lung-M28-P01LA108
SAMPLE_0138,lung-P01LA109,lung-M49-P01LA109
SAMPLE_0139,lung-P01LA111,lung-M20-P01LA111
SAMPLE_0140,lung-P01LA112,lung-M71-P01LA112
SAMPLE_0141,lung-P01LA114,lung-M47-P01LA114
SAMPLE_0142,lung-P01LA115,lung-M48-P01LA115
SAMPLE_0143,lung-P01LA116,lung-M21-P01LA116
SAMPLE_0144,lung-P01LA117,lung-M47-P01LA117
SAMPLE_0145,lung-P01LA119,lung-M68-P01LA119
SAMPLE_0146,lung-P01LA120,lung-M68-P01LA120
SAMPLE_0147,lung-P01LA121,lung-M78-P01LA121
SAMPLE_0148,lung-P01LA123,lung-M67-P01LA123
SAMPLE_0149,lung-P01LA124,lung-M49-P01LA124
SAMPLE_0150,lung-P01LA125,lung-M52-P01LA125
SAMPLE_0151,lung-P01LA127,lung-M73-P01LA127
SAMPLE_0152,lung-P01LA128,lung-M164-P01LA128
SAMPLE_0153,lung-P01LA129,lung-M73-P01LA129
SAMPLE_0154,lung-P01LA132,lung-M77-P01LA132
SAMPLE_0155,lung-P01LA133,lung-M72-P01LA133
SAMPLE_0156,lung-P01LA135,lung-M49-P01LA135
SAMPLE_0157,lung-P01LA137,lung-M60-P01LA137
SAMPLE_0158,lung-P01LA139,lung-M237-P01LA139
SAMPLE_0159,lung-P01LA141,lung-M216-P01LA141
