filename,x_size,y_size,z_size,x_spacing,y_spacing,z_spacing
LIDCIDRI_0534_0000.nii.gz,512,512,127,0.66796875,0.66796875,3.0
LIDCIDRI_0740_0000.nii.gz,512,512,199,0.56640625,0.56640625,1.8
LIDCIDRI_0621_0000.nii.gz,512,512,730,0.73046875,0.73046875,0.5
LIDCIDRI_0698_0000.nii.gz,512,512,481,0.703125,0.703125,0.624985
LIDCIDRI_0582_0000.nii.gz,512,512,536,0.65625,0.65625,0.7
LIDCIDRI_0004_0000.nii.gz,512,512,241,0.822266,0.822266,1.25
LIDCIDRI_0913_0000.nii.gz,512,512,400,0.52734375,0.52734375,0.75
LIDCIDRI_0697_0000.nii.gz,512,512,210,0.878906,0.878906,1.25
LIDCIDRI_0311_0000.nii.gz,512,512,225,0.78125,0.78125,1.25
LIDCIDRI_0165_0000.nii.gz,512,512,133,0.703125,0.703125,2.5
LIDCIDRI_0872_0000.nii.gz,512,512,110,0.732,0.732,3.0
LIDCIDRI_0559_0000.nii.gz,512,512,139,0.742188,0.742188,2.5
LIDCIDRI_0437_0000.nii.gz,512,512,557,0.703125,0.703125,0.625
LIDCIDRI_0643_0000.nii.gz,512,512,128,0.611328,0.611328,2.5
LIDCIDRI_0438_0000.nii.gz,512,512,672,0.6074219,0.6074219,0.5
LIDCIDRI_0556_0000.nii.gz,512,512,280,0.8046875,0.8046875,1.0
LIDCIDRI_0722_0000.nii.gz,512,512,509,0.703125,0.703125,0.625
LIDCIDRI_0373_0000.nii.gz,512,512,529,0.664062,0.664062,0.625
LIDCIDRI_0107_0000.nii.gz,512,512,136,0.644,0.644,2.0
LIDCIDRI_0069_0000.nii.gz,512,512,136,0.741,0.741,2.0
LIDCIDRI_0481_0000.nii.gz,512,512,259,0.60546875,0.60546875,1.0
LIDCIDRI_0810_0000.nii.gz,512,512,458,0.585938,0.585938,0.625
LIDCIDRI_0212_0000.nii.gz,512,512,133,0.703125,0.703125,2.5
LIDCIDRI_0066_0000.nii.gz,512,512,733,0.63671875,0.63671875,0.5
LIDCIDRI_0794_0000.nii.gz,512,512,392,0.6386719,0.6386719,0.75
LIDCIDRI_0971_0000.nii.gz,512,512,255,0.652344,0.652344,1.25
LIDCIDRI_0546_0000.nii.gz,512,512,348,0.6347656,0.6347656,1.0
LIDCIDRI_0732_0000.nii.gz,512,512,167,0.6640625,0.6640625,1.8
LIDCIDRI_0427_0000.nii.gz,512,512,426,0.742188,0.742188,0.625
LIDCIDRI_0549_0000.nii.gz,512,512,244,0.673828,0.673828,1.25
LIDCIDRI_0961_0000.nii.gz,512,512,126,0.744,0.744,3.0
LIDCIDRI_0202_0000.nii.gz,512,512,111,0.78125,0.78125,2.5
LIDCIDRI_0118_0000.nii.gz,512,512,265,0.882812,0.882812,1.25
LIDCIDRI_0076_0000.nii.gz,512,512,297,0.787109,0.787109,1.25
LIDCIDRI_0800_0000.nii.gz,512,512,129,0.644531,0.644531,2.5
LIDCIDRI_0491_0000.nii.gz,512,512,535,0.664062,0.664062,0.625
LIDCIDRI_0363_0000.nii.gz,512,512,270,0.703125,0.703125,1.25
LIDCIDRI_0079_0000.nii.gz,512,512,113,0.698,0.698,3.0
LIDCIDRI_0117_0000.nii.gz,512,512,122,0.65,0.65,3.0
LIDCIDRI_0445_0000.nii.gz,512,512,327,0.546875,0.546875,1.0
LIDCIDRI_0631_0000.nii.gz,512,512,455,0.6328125,0.6328125,0.7
