filename,x_size,y_size,z_size,x_spacing,y_spacing,z_spacing
LIDCIDRI_0858_0000.nii.gz,512,512,417,0.703125,0.703125,0.625
LIDCIDRI_1012_0000.nii.gz,512,512,166,0.722656,0.722656,2.0
LIDCIDRI_0356_0000.nii.gz,512,512,193,0.546875,0.546875,1.8
LIDCIDRI_0184_0000.nii.gz,512,512,140,0.625,0.625,2.5
LIDCIDRI_0656_0000.nii.gz,512,512,280,0.703125,0.703125,1.25
LIDCIDRI_0369_0000.nii.gz,512,512,246,0.652344,0.652344,1.25
LIDCIDRI_0868_0000.nii.gz,512,512,123,0.703125,0.703125,2.5
LIDCIDRI_0304_0000.nii.gz,512,512,206,0.703125,0.703125,1.8
LIDCIDRI_0170_0000.nii.gz,512,512,206,0.898438,0.898438,1.25
LIDCIDRI_0682_0000.nii.gz,512,512,298,0.71875,0.71875,1.25
LIDCIDRI_0033_0000.nii.gz,512,512,137,0.78125,0.78125,2.5
LIDCIDRI_0248_0000.nii.gz,512,512,117,0.976562,0.976562,2.5
LIDCIDRI_0619_0000.nii.gz,512,512,208,0.722656,0.722656,1.25
LIDCIDRI_0503_0000.nii.gz,512,512,181,0.76171875,0.76171875,1.8
LIDCIDRI_0142_0000.nii.gz,512,512,333,0.7753906,0.7753906,1.0
LIDCIDRI_0258_0000.nii.gz,512,512,133,0.703125,0.703125,2.5
LIDCIDRI_0203_0000.nii.gz,512,512,147,0.78125,0.78125,2.5
LIDCIDRI_0077_0000.nii.gz,512,512,130,0.664062,0.664062,2.5
LIDCIDRI_0490_0000.nii.gz,512,512,590,0.6269531,0.6269531,0.450012
LIDCIDRI_0547_0000.nii.gz,512,512,216,0.703125,0.703125,1.25
LIDCIDRI_0912_0000.nii.gz,512,512,315,0.8300781,0.8300781,1.0
LIDCIDRI_0583_0000.nii.gz,512,512,290,0.6386719,0.6386719,1.0
LIDCIDRI_0005_0000.nii.gz,512,512,133,0.664062,0.664062,2.5
LIDCIDRI_0515_0000.nii.gz,512,512,289,0.763672,0.763672,1.25
LIDCIDRI_0416_0000.nii.gz,512,512,192,0.56640625,0.56640625,1.8
LIDCIDRI_0129_0000.nii.gz,512,512,253,0.742188,0.742188,1.25
LIDCIDRI_0568_0000.nii.gz,512,512,295,0.703125,0.703125,1.25
LIDCIDRI_0743_0000.nii.gz,512,512,209,0.625,0.625,1.8
LIDCIDRI_0591_0000.nii.gz,512,512,225,0.623047,0.623047,1.25
LIDCIDRI_0332_0000.nii.gz,512,512,181,0.644531,0.644531,1.999969
LIDCIDRI_0082_0000.nii.gz,512,512,242,0.703125,0.703125,1.25
LIDCIDRI_0034_0000.nii.gz,512,512,265,0.669922,0.669922,1.25
LIDCIDRI_0673_0000.nii.gz,512,512,519,0.644531,0.644531,0.625
LIDCIDRI_0222_0000.nii.gz,512,512,129,0.625,0.625,2.5
LIDCIDRI_0056_0000.nii.gz,512,512,245,0.826172,0.826172,1.25
LIDCIDRI_0579_0000.nii.gz,512,512,176,0.7421875,0.7421875,1.8
LIDCIDRI_0576_0000.nii.gz,512,512,280,0.5644531,0.5644531,1.0
LIDCIDRI_0951_0000.nii.gz,512,512,300,0.6074219,0.6074219,1.0
LIDCIDRI_0128_0000.nii.gz,512,512,257,0.851562,0.851562,1.25
LIDCIDRI_0092_0000.nii.gz,512,512,241,0.773438,0.773438,1.25
LIDCIDRI_0108_0000.nii.gz,512,512,143,0.703125,0.703125,2.5
LIDCIDRI_0270_0000.nii.gz,512,512,143,0.742188,0.742188,2.5
LIDCIDRI_0762_0000.nii.gz,512,512,241,0.609375,0.609375,1.25
LIDCIDRI_0987_0000.nii.gz,512,512,477,0.625,0.625,0.625
LIDCIDRI_0252_0000.nii.gz,512,512,148,0.859375,0.859375,2.5
LIDCIDRI_0997_0000.nii.gz,512,512,538,0.60546875,0.60546875,0.7
LIDCIDRI_0894_0000.nii.gz,512,512,252,0.703125,0.703125,1.25
LIDCIDRI_0299_0000.nii.gz,512,512,541,0.78125,0.78125,0.625
LIDCIDRI_0822_0000.nii.gz,512,512,300,0.6777344,0.6777344,1.0
LIDCIDRI_0860_0000.nii.gz,512,512,187,0.7421875,0.7421875,1.8
LIDCIDRI_0590_0000.nii.gz,512,512,500,0.703125,0.703125,0.625
LIDCIDRI_0433_0000.nii.gz,512,512,305,0.8339844,0.8339844,1.0
LIDCIDRI_0586_0000.nii.gz,512,512,120,0.576172,0.576172,2.5
LIDCIDRI_0907_0000.nii.gz,512,512,239,0.585938,0.585938,1.25
LIDCIDRI_0010_0000.nii.gz,512,512,277,0.878906,0.878906,1.25
LIDCIDRI_0928_0000.nii.gz,512,512,230,0.605469,0.605469,1.25
LIDCIDRI_0882_0000.nii.gz,512,512,267,0.751953,0.751953,1.25
LIDCIDRI_0335_0000.nii.gz,512,512,300,0.71484375,0.71484375,1.0
LIDCIDRI_0819_0000.nii.gz,512,512,375,0.625,0.625,0.625
LIDCIDRI_0816_0000.nii.gz,512,512,278,0.710938,0.710938,1.25
LIDCIDRI_0249_0000.nii.gz,512,512,214,0.820312,0.820312,1.25
LIDCIDRI_0826_0000.nii.gz,512,512,493,0.742188,0.742188,0.625
LIDCIDRI_0890_0000.nii.gz,512,512,230,0.732422,0.732422,1.25
