LNDbID,Modality,Manufacturer,ManufacturerModelName,SliceThickness,KVP,DataCollectionDiameter,ReconstructionDiameter,DistanceSourceToDetector,DistanceSourceToPatient,GantryDetectorTilt,TableHeight,RotationDirection,ExposureTime,XRayTubeCurrent,Exposure,FilterType,ConvolutionKernel,SamplesPerPixel,PhotometricInterpretation,PixelSpacing
1,CT,SIEMENS,Sensation Cardiac 64,1,120,500,311,1040,570,0,156,CW,500,43,15,0,B50f,1,MONOCHROME2,"['0.607421875', '0.607421875']"
2,CT,SIEMENS,Sensation Cardiac 64,1,120,500,371,1040,570,0,171,CW,500,238,88,0,B50f,1,MONOCHROME2,"['0.724609375', '0.724609375']"
3,CT,SIEMENS,Sensation Cardiac 64,1,120,500,382,1040,570,0,205,CW,500,144,53,0,B50f,1,MONOCHROME2,"['0.74609375', '0.74609375']"
4,CT,SIEMENS,Sensation Cardiac 64,1,120,500,365,1040,570,0,175,CW,500,183,67,0,B50f,1,MONOCHROME2,"['0.712890625', '0.712890625']"
5,CT,SIEMENS,Sensation Cardiac 64,1,120,500,357,1040,570,0,173,CW,500,206,76,0,B50f,1,MONOCHROME2,"['0.697265625', '0.697265625']"
6,CT,SIEMENS,Sensation Cardiac 64,1,140,500,400,1040,570,0,129,CW,500,324,120,0,B50f,1,MONOCHROME2,"['0.78125', '0.78125']"
7,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,152,CW,500,116,42,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
8,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,143,CW,500,132,48,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
9,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,252,CW,500,289,107,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
10,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,148,CW,500,205,75,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
11,CT,SIEMENS,Sensation Cardiac 64,1,120,500,304,1040,570,0,135,CW,500,51,18,0,B50f,1,MONOCHROME2,"['0.59375', '0.59375']"
12,CT,SIEMENS,Sensation Cardiac 64,1,120,500,373,1040,570,0,164,CW,500,299,110,0,B50f,1,MONOCHROME2,"['0.728515625', '0.728515625']"
13,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,186,CW,500,63,23,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
15,CT,SIEMENS,Sensation Cardiac 64,1,120,500,358,1040,570,0,154,CW,500,183,67,0,B50f,1,MONOCHROME2,"['0.69921875', '0.69921875']"
16,CT,SIEMENS,Sensation Cardiac 64,1,120,500,309,1040,570,0,166,CW,500,247,91,0,B50f,1,MONOCHROME2,"['0.603515625', '0.603515625']"
17,CT,SIEMENS,Sensation Cardiac 64,1,120,500,361,1040,570,0,197,CW,500,296,109,0,B50f,1,MONOCHROME2,"['0.705078125', '0.705078125']"
18,CT,SIEMENS,Sensation Cardiac 64,1,120,500,273,1040,570,0,150,CW,500,198,73,0,B50f,1,MONOCHROME2,"['0.533203125', '0.533203125']"
19,CT,SIEMENS,Sensation Cardiac 64,1,120,500,319,1040,570,0,154,CW,500,178,65,0,B50f,1,MONOCHROME2,"['0.623046875', '0.623046875']"
20,CT,SIEMENS,Sensation Cardiac 64,1,120,500,312,1040,570,0,190,CW,500,75,27,0,B50f,1,MONOCHROME2,"['0.609375', '0.609375']"
21,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,165,CW,500,72,26,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
22,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,228,CW,500,318,117,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
23,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,163,CW,500,204,75,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
24,CT,SIEMENS,Sensation Cardiac 64,1,120,500,374,1040,570,0,164,CW,500,129,47,0,B50f,1,MONOCHROME2,"['0.73046875', '0.73046875']"
25,CT,SIEMENS,Sensation Cardiac 64,1,120,500,407,1040,570,0,155,CW,500,210,77,0,B50f,1,MONOCHROME2,"['0.794921875', '0.794921875']"
26,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,155,CW,500,129,47,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
27,CT,SIEMENS,Sensation Cardiac 64,1,120,500,334,1040,570,0,146,CW,500,140,51,0,B50f,1,MONOCHROME2,"['0.65234375', '0.65234375']"
28,CT,SIEMENS,Sensation Cardiac 64,1,120,500,368,1040,570,0,166,CW,500,274,101,0,B50f,1,MONOCHROME2,"['0.71875', '0.71875']"
29,CT,SIEMENS,Sensation Cardiac 64,1,120,500,359,1040,570,0,204,CW,500,180,66,0,B50f,1,MONOCHROME2,"['0.701171875', '0.701171875']"
30,CT,SIEMENS,Sensation Cardiac 64,1,120,500,388,1040,570,0,131,CW,500,402,148,0,B50f,1,MONOCHROME2,"['0.7578125', '0.7578125']"
31,CT,SIEMENS,Sensation Cardiac 64,1,120,500,311,1040,570,0,127,CW,500,40,14,0,B50f,1,MONOCHROME2,"['0.607421875', '0.607421875']"
32,CT,SIEMENS,Sensation Cardiac 64,1,120,500,319,1040,570,0,182,CW,500,51,18,0,B50f,1,MONOCHROME2,"['0.623046875', '0.623046875']"
