filename,x_size,y_size,z_size,x_spacing,y_spacing,z_spacing
LNDb-0272.nii.gz,512,512,317,0.5859375,0.5859375,1.0
LNDb-0301.nii.gz,625,512,359,0.60385936,0.6038592,0.9995784
LNDb-0094.nii.gz,512,512,320,0.6894531,0.6894531,1.0
LNDb-0232.nii.gz,640,512,290,0.6034297,0.6034297,1.0
LNDb-0229.nii.gz,624,512,281,0.5128203,0.51282054,1.0002204
LNDb-0167.nii.gz,512,512,332,0.6386719,0.6386719,1.0
LNDb-0127.nii.gz,512,512,317,0.671875,0.671875,1.0
LNDb-0054.nii.gz,512,512,305,0.65234375,0.65234375,1.0
LNDb-0269.nii.gz,647,512,322,0.6494883,0.6494884,1.000325
LNDb-0002.nii.gz,512,512,263,0.7246094,0.7246094,1.0
LNDb-0171.nii.gz,581,512,313,0.6335439,0.63399607,1.0002869
LNDb-0099.nii.gz,512,512,351,0.7089844,0.7089844,1.0
LNDb-0131.nii.gz,512,512,317,0.78515625,0.78515625,1.0
LNDb-0042.nii.gz,512,512,328,0.6113281,0.6113281,1.0
LNDb-0059.nii.gz,512,512,312,0.640625,0.640625,1.0
LNDb-0264.nii.gz,512,512,386,0.6542969,0.6542969,1.0
LNDb-0082.nii.gz,512,512,296,0.65234375,0.65234375,1.0
LNDb-0019.nii.gz,512,512,320,0.6230469,0.6230469,1.0
LNDb-0224.nii.gz,732,512,351,0.5293711,0.52937156,1.0
LNDb-0288.nii.gz,660,512,315,0.50738674,0.5073864,1.0
LNDb-0213.nii.gz,648,512,340,0.5663594,0.5663596,1.000288
LNDb-0253.nii.gz,512,512,270,0.70703125,0.70703125,1.0
LNDb-0186.nii.gz,512,512,296,0.78515625,0.78515625,1.0
LNDb-0106.nii.gz,512,512,314,0.5914062,0.5914062,1.0
LNDb-0075.nii.gz,512,512,328,0.65234375,0.65234375,1.0
LNDb-0248.nii.gz,704,512,389,0.51589453,0.5158949,1.000051
LNDb-0035.nii.gz,512,512,284,0.52734375,0.52734375,1.0
LNDb-0208.nii.gz,512,512,287,0.5957031,0.5957031,1.0
LNDb-0146.nii.gz,512,512,323,0.7480469,0.7480469,1.0
