filename,x_size,y_size,z_size,x_spacing,y_spacing,z_spacing
NSCLC_304_0000.nii.gz,512,512,94,0.9765625,0.9765625,3.0
NSCLC_170_0000.nii.gz,512,512,110,0.977,0.977,3.0
NSCLC_265_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_011_0000.nii.gz,512,512,88,0.977,0.977,3.0
NSCLC_422_0000.nii.gz,512,512,116,0.9765625,0.9765625,3.0
NSCLC_369_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_207_0000.nii.gz,512,512,124,0.977,0.977,3.0
NSCLC_073_0000.nii.gz,512,512,176,0.9765625,0.9765625,3.0
NSCLC_208_0000.nii.gz,512,512,116,0.9765625,0.9765625,3.0
NSCLC_366_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_112_0000.nii.gz,512,512,176,0.9765625,0.9765625,3.0
NSCLC_376_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_218_0000.nii.gz,512,512,94,0.9765625,0.9765625,3.0
NSCLC_102_0000.nii.gz,512,512,118,0.9765625,0.9765625,3.0
NSCLC_217_0000.nii.gz,512,512,94,0.9765625,0.9765625,3.0
NSCLC_379_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_063_0000.nii.gz,512,512,114,0.977,0.977,3.0
NSCLC_275_0000.nii.gz,512,512,132,0.9765625,0.9765625,3.0
NSCLC_001_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_314_0000.nii.gz,512,512,96,0.9765625,0.9765625,3.0
NSCLC_160_0000.nii.gz,512,512,144,0.9765625,0.9765625,3.0
NSCLC_043_0000.nii.gz,512,512,103,0.977,0.977,3.0
NSCLC_359_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_237_0000.nii.gz,512,512,126,0.9765625,0.9765625,3.0
NSCLC_122_0000.nii.gz,512,512,124,0.9765625,0.9765625,3.0
NSCLC_238_0000.nii.gz,512,512,94,0.9765625,0.9765625,3.0
NSCLC_356_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_281_0000.nii.gz,512,512,101,0.9765625,0.9765625,3.0
NSCLC_412_0000.nii.gz,512,512,134,0.9765625,0.9765625,3.0
NSCLC_194_0000.nii.gz,512,512,127,0.977,0.977,3.0238094
NSCLC_140_0000.nii.gz,512,512,111,0.977,0.977,3.0
